lead_id,business_name,category,service_keywords,location_fit,address,city_area,province,country,phone,email,website,source_name,source_url,source_checked_date,contact_type,popia_consent_status,email_marketing_allowed_now,allowed_next_step,notes
MEY-001-cas-services-cc,CAS Services cc,Industrial services,"Compressed air solutions, rentals, spare parts, 24 hour services",Meyerton based,"36 Albert Wessels Ave, Sybrand van Niekerk Park, Meyerton","Sybrand van Niekerk Park, Meyerton",Gauteng,South Africa,016 362 0021; 083 320 4722,info@casservices.co.za,https://casservices.co.za/,CAS Services website,https://casservices.co.za/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public business contact details listed on company website.
MEY-002-tyremart-meyerton,Tyremart Meyerton,Automotive services,"Tyres, batteries, brakes, mag repairs, shocks, wheels",Meyerton based,"45 Galloway Street, Meyerton, 1961",Meyerton,Gauteng,South Africa,016 360 8400,meyerton@thomastyres.co.za,https://www.tyremart.co.za/meyerton/,Tyremart branch page,https://www.tyremart.co.za/meyerton/,2026-05-19,named_or_role_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Branch contact email listed publicly.
MEY-003-css-engineering,CSS Engineering,Engineering services,Engineering services,Meyerton based,"34 Sieg Kuschke Ave, Sybrand van Niekerk Park, Meyerton, 1962","Sybrand van Niekerk Park, Meyerton",Gauteng,South Africa,016 362 4152/3,info@cssengineering.co.za,https://www.cssengineering.co.za/,CSS Engineering contact page,https://www.cssengineering.co.za/contact/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Website contact form also includes explicit permission checkbox for saving data.
MEY-004-postnet-meyerton,PostNet Meyerton,Business services,"Courier, printing, retail, logistics",Meyerton based,"Shop 1, Three Oaks Professional Centre, Cnr Pierneef Blvd & Boet Kruger St, Meyerton, 1960",Meyerton,Gauteng,South Africa,016 362 0928,postnetmeyerton@yahoo.com,https://meyerton.postnet.co.za/,Cybo listing,https://bedrijvengids.cybo.com/ZA-biz/postnet-meyerton,2026-05-19,consumer_or_named_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Cybo also lists callcentre@postnetsa.co.za; branch-specific address captured.
MEY-005-m-g-castings-supplies-engine,M G Castings Supplies & Engineering,Manufacturing and engineering,"Foundries, castings, engineering supplies",Meyerton based,"Cnr Meyerton & Station St, Meyerton, 1961",Meyerton,Gauteng,South Africa,016 360 1600,sales@mgcastings.co.za,https://mgcastings.co.za/,Brabys/Ananzi listing,https://ads.ananzi-h.net/za/gauteng/meyerton/foundries/m-g-castings-supplies-engineering,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public directory listing.
MEY-006-cobus-taljaard-en-vennote,Cobus Taljaard en Vennote,Accounting services,"Accounting, bookkeeping, auditing, tax consultancy, management consulting",Meyerton based,"10 Reitz St, Meyerton, 1961",Meyerton,Gauteng,South Africa,016 362 0275,ctaljaard@mweb.co.za,,Cybo listing,https://www.cybo.com/ZA-biz/cobus-taljaard-en-vennote,2026-05-19,consumer_or_named_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Email is public but personal-looking; treat with extra consent care.
MEY-007-sechaba-electronic-solutions,Sechaba Electronic Solutions,Security and electronics,"Fire detection, CCTV, fibre splicing, access control, alarms, PA systems, electrical projects",Meyerton based,"Plot 74 De Deur Road, De Deur, Meyerton, 1871","De Deur, Meyerton",Gauteng,South Africa,079 044 8503,,,Hotfrog listing,https://www.hotfrog.co.za/company/1099860847554560/sechaba-electronic-solutions/meyerton/electronics-services-and-equipment,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",Directory shows email button but does not expose address.
MEY-008-sa-whole-salers,SA whole salers,Courier and delivery services,Courier and parcel delivery,Meyerton based,"48 Loch St, Meyerton, 1961",Meyerton,Gauteng,South Africa,082 619 1217; 079 277 3402,,,Cybo listing,https://yellowpages-af.cybo.com/ZA-biz/sa-whole-salers,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",No public email found in listing.
MEY-009-americana-hardware,Americana Hardware,Building supplies and home improvement,"Hardware, building materials, renovation supplies",Meyerton based,"163 Johan Le Roux Rd, Meyerton Park (Farms), Meyerton, 1961","Meyerton Park, Meyerton",Gauteng,South Africa,016 362 1999,,,Yocale listing,https://www.yocale.com/en/b/americanahardware,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.","Useful for supplier partnership, not necessarily a pro-service lead."
MEY-010-miloy-engineering,Miloy Engineering,Civil engineering,Civil engineering,Meyerton based,"54 Albert Wessels Ave, Sybrand V Niekerk Park, Meyerton, 1961","Sybrand van Niekerk Park, Meyerton",Gauteng,South Africa,016 362 1310,info@astecsa.co.za,,Southern African Business Pages,https://sabusinesspgs.com/listings/miloy-engineering/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Directory email domain may point to related company; verify before use.
